CO2,Speed
568,27.19
589,23.64
568,27.79
590,20.94
590,20.87
590,20.72
590,20.59
590,20.44
589,20.26
589,20.29
589,20.22
589,20.14
589,20.25
737,7
737,8.07
737,7.04
736,9.67
736,9.16
652,11.63
549,10.46
652,11.52
549,11.34
652,11.92
549,12.3
549,12.25
549,11.75
549,11.8
549,11.32
549,13.45
549,17.59
652,14.42
652,14.2
652,13.94
652,13.21
652,14.57
652,15.66
652,14.73
549,20.72
652,13.85
549,21.7
652,14
549,22.21
652,13.45
549,22.59
652,12.84
549,23.31
549,23.41
549,23.19
549,22.68
567,25.56
549,22.38
567,25.54
549,21.95
567,25.33
567,25.49
567,25.1
567,25.18
567,26.15
567,26.28
567,25.77
567,26
649,13.14
649,13.56
652,12.23
652,12.12
652,12.31
549,21.33
650,12.48
647,14.5
647,14.67
647,14.82
549,15.82
647,14.56
549,15.9
549,16.03
549,15.57
549,14.97
647,14.41
549,13.81
549,12.71
549,11.62
549,11.53
549,11.4
647,13.87
647,14.41
647,14.27
647,14.23
647,14.62
549,11.14
549,10.69
549,9.99
549,9.68
549,9.75
549,9.97
549,9.57
572,18.16
572,20.09
572,45.14
572,22.29
572,23.45
572,22.66
572,22.03
572,23.56
572,22.44
571,24.11
571,23.04
571,23.18
571,23.05
572,23.38
571,22.91
571,22.42
571,23.13
571,23.39
571,22.89
712,19.32
625,0.96
710,20.05
712,19.54
712,19.47
712,19.36
712,19.42
710,19.77
710,19.98
712,19.66
712,19.79
708,19.57
708,19.31
708,18.25
708,17.94
708,18.92
708,18.53
708,18.02
708,17.81
708,17.7
708,18
594,25.2
594,25.39
594,25.95
594,24.72
594,24.82
594,24.92
594,25.06
594,24.64
576,10.39
587,6.6
560,24.96
745,30.95
560,25.41
745,31.36
576,12.72
587,7.69
560,25.75
745,31.52
576,11.64
560,25.85
745,31.46
587,10.59
559,24.09
587,11.28
559,24.29
587,9.11
560,24.52
560,24.85
745,30.81
595,25.19
745,30.67
595,25.09
595,25
559,23.35
575,28.49
559,23.66
595,23.39
745,31.44
595,23.83
745,31.08
595,24.34
745,30.83
595,24.9
745,30.89
574,28.23
603,30.7
720,18.71
595,22.61
574,28.27
603,30.56
720,19.27
595,23.09
573,28.25
603,31.02
720,17.63
595,23.24
573,28.23
603,30.98
720,18.17
575,28.42
603,30.62
778,30.17
575,28.5
603,30.84
778,30.28
575,28.11
603,30.42
778,30.2
720,19.72
575,28.32
603,30.56
778,30.31
576,14.69
778,30.61
576,14.24
778,30.79
720,14.59
587,11.62
603,30.83
778,30.43
603,31.13
778,30.18
576,13.66
573,28.12
720,16.33
576,13.25
720,16.94
576,13.71
778,30.95
720,14.97
576,13.71
778,30.84
720,15.59
576,15.03
560,26.86
745,29.95
576,15.26
587,6.08
560,26.75
745,29.54
576,13.54
560,26.98
745,29.36
576,14.33
587,6.78
745,29.15
560,26.41
587,6.94
560,26.64
576,15.03
560,26.64
745,30.47
587,6.3
560,26.86
745,30.05
594,24.21
594,24.39
560,26.18
560,26.18
560,26.19
594,23.8
745,28.98
594,23.89
605,31.37
745,28.69
594,23.92
746,28.63
594,24.11
746,28.47
595,24.75
575,29.49
607,31.4
778,31.17
716,19.28
594,23.41
575,29.42
607,31.17
716,19.03
594,23.11
575,28.94
605,31.29
718,19.56
594,23.66
575,29.18
605,31.24
717,19.44
575,30.38
607,31.27
783,31.5
575,30.17
607,31.28
778,31.5
575,29.95
607,31.11
778,31.28
575,29.9
607,31.17
778,31.06
795,31.5
720,20.05
795,31.5
720,20.37
607,31.23
789,31.5
587,7.76
786,31.62
576,12.43
575,28.96
720,19.85
576,12.77
575,28.44
718,19.66
576,11.18
720,20.19
576,11.87
795,31.62
720,20.2
558,18.1
558,18.65
558,19.02
625,0.97
558,19.77
594,19.52
558,16.39
558,16.51
558,16.92
558,17.26
594,17.8
594,18.54
573,28.62
594,19.06
573,28.75
594,18.96
573,28.75
594,16.35
594,16.63
594,17.19
594,17.7
573,28.19
795,32.07
716,18.09
573,28.2
795,31.62
573,28.13
716,18.48
594,16.13
716,18.17
573,28.62
795,31.73
573,28.52
795,31.95
573,28.39
795,31.84
573,28.37
795,31.84
795,31.3
716,18.65
795,31.52
716,18.69
795,31.63
795,31.73
716,18.87
559,20.43
716,18.55
559,21.22
716,18.41
716,18.74
716,18.5
559,23.15
559,23.21
559,23.35
559,23.22
559,22.48
559,22.9
559,22.92
559,23.02
594,21.3
594,21.77
595,22.1
573,28.32
595,22.05
573,27.77
559,22.1
594,20.93
594,20.83
594,20.84
594,20.83
573,28.61
816,31.5
573,28.62
811,31.28
594,20.41
573,28.59
811,31.44
712,18.88
594,20.5
573,28.75
712,19.1
573,28.23
827,31.84
573,28.32
827,31.85
573,28.3
827,31.73
573,28.36
827,31.62
714,17.45
827,31.85
713,17.82
827,31.73
716,17.68
576,0.38
827,31.73
714,17.5
559,23.35
712,18.69
712,18.86
712,18.08
712,18.43
587,6.62
587,7.03
742,27.22
587,3.74
742,27.1
742,27.1
742,27.19
743,27.4
587,7.91
742,27.28
742,27.12
587,8.46
742,27.27
742,27.1
571,21.73
571,21.97
571,21.7
571,21.62
571,22.77
743,27.62
571,22.71
571,22.34
571,22.75
571,21.71
587,13.49
587,12.76
587,13.77
743,27.72
587,13.73
743,27.72
587,12.25
587,10.36
743,29.42
